inner_outer,post_code_group,whether_newbuild,AVG(price),sales_no
Inner,EC1A,N,617222.9412,51
Inner,EC1M,N,833067.0411,73
Inner,EC1N,N,657724.1509,53
Inner,EC1N,Y,594999.5000,4
Inner,EC1R,N,753222.3306,121
Inner,EC1R,Y,754791.6667,24
Inner,EC1V,N,647454.0558,394
Inner,EC1V,Y,702598.9796,49
Inner,EC1Y,N,607331.9425,87
Inner,EC1Y,Y,1089500.0000,10
Inner,EC2A,N,761239.9740,77
Inner,EC2A,Y,688828.3103,58
Inner,EC2M,N,1065110.0000,10
Inner,EC2M,Y,1999999.0000,1
Inner,EC2R,N,775000.0000,1
Inner,EC2Y,N,810093.4185,184
Inner,EC2Y,Y,895245.9960,251
Inner,EC3A,N,514983.3333,3
Inner,EC3N,N,545680.0000,15
Inner,EC3R,N,590972.7273,11
Inner,EC3R,Y,888531.2500,8
Inner,EC3V,N,691633.3333,3
Inner,EC4A,N,656582.7600,25
Inner,EC4A,Y,851434.0476,21
Inner,EC4M,N,796536.1538,13
Inner,EC4M,Y,497200.0000,1
Inner,EC4R,N,706000.2500,4
Inner,EC4R,Y,1950000.0000,1
Inner,EC4V,N,912997.6087,46
Inner,EC4V,Y,1106656.2500,8
Inner,EC4Y,N,677861.3636,22
Inner,N1,N,696561.1088,2077
Inner,N1,Y,537739.1153,451
Inner,N10,N,729221.2831,611
Outer,N10,N,371319.0337,208
Inner,N10,Y,551541.8605,43
Inner,N11,N,379610.5847,118
Outer,N11,N,368949.1406,562
Inner,N11,Y,214000.0000,1
Outer,N11,Y,360634.6154,13
Outer,N12,N,443199.5249,722
Outer,N12,Y,455933.7097,31
Inner,N13,N,326749.3750,8
Outer,N13,N,361598.8982,668
Outer,N13,Y,329954.5455,11
Outer,N14,N,437736.8239,636
Outer,N14,Y,326611.8182,55
Inner,N15,N,322118.1306,666
Inner,N15,Y,225625.0000,10
Inner,N16,N,483006.5675,1156
Inner,N16,Y,381547.6977,43
Inner,N17,N,263949.2433,826
Outer,N17,N,204000.0000,1
Inner,N17,Y,224869.2321,56
Inner,N18,N,255000.0000,3
Outer,N18,N,225701.8976,410
Outer,N18,Y,76937.5000,2
Inner,N19,N,526377.4756,738
Inner,N19,Y,422695.9077,65
Inner,N1C,N,1089166.6667,6
Inner,N1C,Y,880204.7342,79
Inner,N2,N,808188.2234,94
Outer,N2,N,880973.4677,511
Outer,N2,Y,480496.1538,13
Outer,N20,N,630554.9888,534
Outer,N20,Y,458503.2500,20
Outer,N21,N,481962.6383,705
Outer,N21,Y,457489.5833,24
Inner,N22,N,384878.6438,859
Outer,N22,N,286972.1622,37
Inner,N22,Y,266978.5714,7
Outer,N3,N,608441.0223,629
Outer,N3,Y,780433.3333,15
Inner,N4,N,462917.5344,1104
Inner,N4,Y,445038.1269,134
Inner,N5,N,690239.3000,770
Inner,N5,Y,606256.3761,218
Inner,N6,N,1058166.5306,671
Inner,N6,Y,629208.3333,6
Inner,N7,N,466770.2519,1036
Inner,N7,Y,437702.1667,330
Inner,N8,N,537010.1620,1167
Inner,N8,Y,487775.0000,18
Outer,N9,N,225400.8775,849
Outer,N9,Y,287500.0000,4
Inner,NW1,N,964142.5714,1183
Inner,NW1,Y,892218.2759,116
Inner,NW10,N,450978.9091,22
Outer,NW10,N,481895.3971,1375
Outer,NW10,Y,312465.5385,130
Outer,NW11,N,938442.7129,728
Outer,NW11,Y,706303.3929,28
Inner,NW2,N,638257.6707,167
Outer,NW2,N,508644.5100,1204
Inner,NW2,Y,662800.0000,5
Outer,NW2,Y,344101.9625,80
Inner,NW3,N,1217218.2742,1539
Outer,NW3,N,2256732.5185,27
Inner,NW3,Y,1111639.1429,49
Outer,NW3,Y,4583333.3333,3
Outer,NW4,N,454665.3266,698
Outer,NW4,Y,526323.5294,17
Inner,NW5,N,703114.5052,572
Inner,NW5,Y,680598.0702,57
Inner,NW6,N,687335.7362,1141
Outer,NW6,N,701779.3371,709
Inner,NW6,Y,702848.2069,29
Outer,NW6,Y,462457.0794,63
Outer,NW7,N,510249.9649,683
Outer,NW7,Y,792329.4769,130
Inner,NW8,N,1339386.4886,878
Inner,NW8,Y,2842282.5652,23
Outer,NW9,N,300783.4222,964
Outer,NW9,Y,287399.2562,722
Inner,SE1,N,577440.3073,1783
Inner,SE1,Y,911285.2448,192
Inner,SE10,N,466935.6000,50
Outer,SE10,N,487854.0561,909
Inner,SE10,Y,281005.9524,42
Outer,SE10,Y,491501.3809,848
Inner,SE11,N,505807.6718,390
Inner,SE11,Y,599381.1471,34
Inner,SE12,N,319951.6424,688
Outer,SE12,N,313231.3197,147
Inner,SE12,Y,211245.4545,11
Outer,SE12,Y,304250.0000,6
Inner,SE13,N,337718.2157,1465
Outer,SE13,N,268411.2273,22
Inner,SE13,Y,298812.7778,216
Inner,SE14,N,320417.4404,604
Inner,SE14,Y,272978.7500,24
Inner,SE15,N,373477.6066,1426
Inner,SE15,Y,347143.6078,51
Inner,SE16,N,392543.3950,1319
Inner,SE16,Y,393700.7937,635
Inner,SE17,N,340386.3715,498
Inner,SE17,Y,297571.3684,76
Inner,SE18,N,275250.0000,1
Outer,SE18,N,238813.8439,1640
Outer,SE18,Y,299242.0984,244
Inner,SE19,N,335337.2899,345
Outer,SE19,N,311444.7725,800
Inner,SE19,Y,427049.9000,10
Outer,SE19,Y,411456.1111,45
Outer,SE2,N,217905.1259,413
Outer,SE2,Y,263400.0000,5
Outer,SE20,N,277363.8399,787
Outer,SE20,Y,222056.8310,71
Inner,SE21,N,671795.7104,442
Inner,SE21,Y,430000.0000,3
Inner,SE22,N,541483.1638,1148
Inner,SE22,Y,474842.7143,21
Inner,SE23,N,386344.7307,1307
Inner,SE23,Y,332065.1515,33
Inner,SE24,N,619252.0094,534
Inner,SE24,Y,522625.0000,2
Outer,SE25,N,231872.5670,1037
Outer,SE25,Y,231440.5385,117
Inner,SE26,N,343365.5708,706
Outer,SE26,N,352416.1084,203
Inner,SE26,Y,261933.6364,11
Outer,SE26,Y,286666.6667,3
Inner,SE27,N,365357.4955,660
Inner,SE27,Y,391790.2439,41
Outer,SE28,N,180616.7515,503
Inner,SE3,N,563353.9040,177
Outer,SE3,N,465824.9160,964
Inner,SE3,Y,298533.3333,30
Outer,SE3,Y,424039.7028,212
Inner,SE4,N,396318.0650,816
Inner,SE4,Y,303131.5517,29
Inner,SE5,N,410311.1192,965
Inner,SE5,Y,455337.8043,92
Inner,SE6,N,283313.9393,1253
Inner,SE6,Y,239555.6290,62
Outer,SE6,Y,310000.0000,1
Outer,SE7,N,334779.9143,467
Outer,SE7,Y,255114.9496,119
Inner,SE8,N,270441.8492,451
Outer,SE8,N,371061.3307,127
Inner,SE8,Y,298224.1402,164
Outer,SE8,Y,418973.0541,222
Inner,SE9,N,239007.0952,42
Outer,SE9,N,301846.3139,1615
Outer,SE9,Y,296517.3267,101
Inner,SW10,N,1421227.5084,716
Inner,SW10,Y,855531.0000,6
Inner,SW11,N,731415.3360,2533
Outer,SW11,N,245000.0000,1
Inner,SW11,Y,638871.1457,151
Inner,SW12,N,662334.4494,1304
Inner,SW12,Y,479565.4324,111
Outer,SW13,N,1271742.6365,542
Outer,SW13,Y,1015000.0000,8
Outer,SW14,N,853394.5355,648
Outer,SW14,Y,836658.3333,6
Inner,SW15,N,676898.4882,1909
Outer,SW15,N,628777.4900,100
Inner,SW15,Y,638197.2329,249
Inner,SW16,N,374093.8992,1985
Outer,SW16,N,338042.1196,552
Inner,SW16,Y,335955.7105,190
Outer,SW16,Y,298325.3125,112
Inner,SW17,N,526067.9524,1890
Outer,SW17,N,388158.8855,131
Inner,SW17,Y,422595.1333,75
Inner,SW18,N,635642.1818,2651
Outer,SW18,N,598968.3793,29
Inner,SW18,Y,543642.6272,558
Inner,SW19,N,425930.5325,415
Outer,SW19,N,692065.9192,2463
Inner,SW19,Y,822875.0000,8
Outer,SW19,Y,877912.8571,35
Inner,SW1A,N,2804199.4783,23
Inner,SW1E,N,1472380.7442,43
Inner,SW1H,N,783373.7250,40
Inner,SW1P,N,1011110.0819,403
Inner,SW1P,Y,1557220.9643,112
Inner,SW1V,N,860769.7093,626
Inner,SW1V,Y,882133.0667,15
Inner,SW1W,N,2474108.2145,331
Inner,SW1W,Y,4621800.0000,45
Inner,SW1X,N,3948642.5863,278
Inner,SW1X,Y,7827250.0000,10
Inner,SW1Y,N,2163899.7727,22
Inner,SW2,N,420288.5047,1700
Inner,SW2,Y,314525.9362,47
Outer,SW20,N,590681.1100,1036
Outer,SW20,Y,1061980.8824,34
Inner,SW3,N,2168536.3539,924
Inner,SW3,Y,6377258.5000,24
Inner,SW4,N,658630.4105,1279
Inner,SW4,Y,671053.5887,124
Inner,SW5,N,1161169.2259,580
Inner,SW5,Y,697358.8571,14
Inner,SW6,N,998425.0509,2356
Inner,SW6,Y,1133365.0269,186
Inner,SW7,N,2243507.0746,684
Inner,SW7,Y,19828333.3333,6
Inner,SW8,N,559141.4458,848
Inner,SW8,Y,1505842.2427,239
Inner,SW9,N,426129.4196,1039
Inner,SW9,Y,344731.1279,305
Inner,WC1A,N,738260.5263,19
Inner,WC1B,N,1608326.0435,23
Inner,WC1E,N,871276.2895,38
Inner,WC1H,N,423975.2814,199
Inner,WC1H,Y,485299.9908,109
Inner,WC1N,N,933721.6238,101
Inner,WC1N,Y,1119000.0000,15
Inner,WC1R,N,794853.5714,14
Inner,WC1R,Y,882887.7143,14
Inner,WC1V,N,1040000.0000,4
Inner,WC1X,N,633916.8538,130
Inner,WC1X,Y,775000.0000,2
Inner,WC2B,N,1021086.8333,36
Inner,WC2B,Y,2600000.0000,1
Inner,WC2E,N,1729560.4194,31
Inner,WC2E,Y,2712130.0000,15
Inner,WC2H,N,948890.5556,45
Inner,WC2H,Y,3655420.0000,10
Inner,WC2N,N,1735961.0278,36
Inner,WC2N,Y,1566999.8000,5
Inner,WC2R,N,1880974.5909,22
Inner,WC2R,Y,1115664.3390,59
